experiment,dataset,quantity,polymer_type,model,train_size,split,rmse_mean,rmse_std,mae_mean,mae_std,mse_mean,n_folds,n_samples_mean
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,RDKit_RF,300,train,1.57438741815139,0.24871901805339836,0.86280956544683,0.11073284215607927,2.540556892374846,5,300.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,RDKit_RF,300,val,4.136019022876077,0.17101142570958913,2.2542302349153993,0.07156172224352805,17.13589826531601,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,RDKit_RF,1000,test,3.94176385723918,0.1121086886128595,2.1409075523485113,0.08291430884766184,15.550070664299597,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,RDKit_RF,1000,train,1.4971705602191503,0.1264374734082366,0.8024074449140028,0.05600617932626254,2.2575061210687832,5,1000.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,RDKit_RF,1000,val,4.050440870647716,0.12935945451329578,2.1854196959962824,0.04920113028784301,16.422805115085403,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,RDKit_RF,3000,test,3.7825558886691217,0.0750941146460131,2.0182727670442233,0.07142364489443762,14.313368176959921,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,RDKit_RF,3000,train,1.4175853439909731,0.0677063546975141,0.7557163237901567,0.028738209443856435,2.0141323579644315,5,3000.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,RDKit_RF,3000,val,3.884634894928097,0.13562474928798238,2.0589963344537976,0.035668631999279596,15.108782339512453,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,RDKit_RF,10000,test,3.6405829749280834,0.1258196520774926,1.9266244097384047,0.06301450463124485,13.269674982185114,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,RDKit_RF,10000,train,1.3779373614246526,0.025499682207856478,0.7226651044695187,0.011302796516107981,1.899361605802636,5,10000.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,RDKit_RF,10000,val,3.703727563229214,0.17237100798635663,1.943924894395338,0.0572751334785784,13.747309627018046,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polyBERT,300,test,4.136269108566413,0.09403923814370882,2.52111866796617,0.07955819879142123,17.117565516791437,5,2780.0
